id;balance;account_number;routing_number;bank_name;type
1;16771;73263;71182;Car Movies;CHECKING
2;25030;18959;70546;Connecticut bypass Balanced;SAVINGS
3;55016;45514;15589;generating Movies;SAVINGS
4;59937;61205;21844;Implemented;SAVINGS
5;67291;4762;25720;Computers Ethiopian monitor;SAVINGS
6;68885;42865;69202;online payment;CHECKING
7;52060;95689;25063;Intranet;SAVINGS
8;66193;26271;11686;Steel index Refined;SAVINGS
9;25354;55443;53590;Solutions Group;CHECKING
10;71246;58535;15303;analyzing Soap;CHECKING
