id;custom_category_name;type;amount;category;date;description;transfer_to_account_number;transfer_from_account_number
1;Kentucky;DEPOSIT;9490;FOOD;2023-01-07T09:15:34;Chips Wyoming;29433;33340
2;Shilling;WITHDRAW;79141;ENTERTAINMENT;2023-01-07T20:13:07;Estates invoice;39660;934
3;Haiti;TRANSFER;99586;FOOD;2023-01-07T14:42:47;SQL;60550;11223
4;Executive Operations;WITHDRAW;83747;TRANSPORTATION;2023-01-07T00:02:44;Licensed Cambridgeshire interface;65952;98576
5;next-generation scalable;WITHDRAW;10624;BILL;2023-01-07T00:04:32;digital Gourde Tools;78509;8602
6;Berkshire programming;TRANSFER;89810;ENTERTAINMENT;2023-01-07T10:50:15;Forest Fantastic;28653;16350
7;Fish Island;TRANSFER;84505;TRANSPORTATION;2023-01-07T19:01:43;IB Alabama port;72528;91887
8;compressing Maryland;TRANSFER;75828;ENTERTAINMENT;2023-01-07T02:00:36;JSON;57971;50994
9;drive SSL;DEPOSIT;39088;TRANSPORTATION;2023-01-07T03:33:43;e-business Gardens Planner;69647;51839
10;Indonesia;TRANSFER;68394;BILL;2023-01-07T00:22:09;silver deposit Account;4088;49489
